Wal-Mart Address,Latitude,Longitude
"7011 Main, American Canyon, CA",38.183042,-122.2526385
"1120 S Anaheim, Anaheim, CA",33.8194612,-117.9080356
"121 N Beach, Anaheim, CA",33.8332451,-117.994978
"440 North Euclid, Anaheim, CA",33.8361695,-117.937995
"88 East Orangethorpe, Anaheim, CA",33.8575332,-117.9188389
"5000 Rhonda, Anderson, CA",40.4312856,-122.2896437
"7901 Watt, Antelope, CA",38.712868,-121.3945988
"4893 Lone Tree, Antioch, CA",37.9634741,-121.7615028
"20251 Hwy, Apple Valley, CA",36.8215491,-119.8641758
"1168 West Branch, Arroyo Grande, CA",35.1289649,-120.5977037
"800 Commerce, Atwater, CA",37.3403431,-120.6092463
"2601 Fashion, Bakersfield, CA",35.391556,-118.9608064
"3111 N. Chester, Bakersfield, CA",35.4344663,-119.0223614
"5037 E. Brundage, Bakersfield, CA",35.3542258,-118.9492246
"5075 Gosford, Bakersfield, CA",35.3088515,-119.095435
"5625 Calloway, Bakersfield, CA",35.4118739,-119.1125285
"6225 Colony, Bakersfield, CA",35.2987469,-119.0293714
"8400 Rosedale, Bakersfield, CA",35.3863265,-119.0956783
"3250 Big Dalton, Baldwin Park, CA",34.0719009,-117.9635435
"621 Montara, Barstow, CA",34.8825506,-116.9917608
"1540 E 2nd, Beaumont, CA",33.9251432,-116.9517071
"250 Wildcat, Brawley, CA",32.9624218,-115.5458487
"2595 E Imperial, Brea, CA",33.91313,-117.8658287
"8450 La Palma, Buena Park, CA",33.8451353,-117.9870888
"2540 Rockwood, Calexico, CA",32.6976162,-115.4964844
"275 West Ventura, Camarillo, CA",34.217233,-119.074622
"6005 Madison, Carmichael, CA",38.6624547,-121.3249133
"20226 Avalon, Carson, CA",33.848386,-118.2634696
"1670 Mitchell, Ceres, CA",37.606716,-120.9375032
"12701 Towne Center, Cerritos, CA",33.8724395,-118.0619035
"2044 Forest, Chico, CA",39.7232811,-121.8049052
"3943 Grand, Chino, CA",33.9955043,-117.7200268
"1150, Chula Vista, CA",32.5755399,-117.1216211
"1360 Eastlake, Chula Vista, CA",32.631371,-116.96773
"75 N, Chula Vista, CA",32.6154863,-117.1351668
"6197 Sunrise, Citrus Heights, CA",38.6757366,-121.2733484
"7010 Auburn, Citrus Heights, CA",38.6895163,-121.2951954
"17150 East Gale, City Of Industry, CA",33.9983879,-117.9322693
"15960 Dam, Clearlake, CA",38.9315506,-122.6164489
"1185 Herndon, Clovis, CA",36.839758,-119.695762
"1830 Shaw, Clovis, CA",36.8071308,-119.6808571
"323 West Shaw, Clovis, CA",36.811324,-119.7168815
"1120 S Mt Vernon, Colton, CA",34.0506487,-117.3068204
"1290 E Ontario, Corona, CA",33.846051,-117.5411399
"1560 W. 6th, Corona, CA",33.8770552,-117.595742
"479 N Mckinley, Corona, CA",33.8908109,-117.5173073
"1275 North Azusa, Covina, CA",34.1025584,-117.9096171
"900 E Washington, Crescent City, CA",41.7749568,-124.1899108
"530 Woollomes, Delano, CA",35.7439829,-119.2480535
"1180 S. Diamond Bar, Diamond Bar, CA",34.0011235,-117.809262
"770 W El Monte, Dinuba, CA",36.5433047,-119.402388
"235 E Dorset, Dixon, CA",38.4719331,-121.8202573
"12270 Paramount, Downey, CA",33.9281581,-118.1477483
"1600 S Mountain, Duarte, CA",34.1340537,-117.9839379
"13487 Camino, El Cajon, CA",32.8712717,-116.9389319
"300 N 2nd, El Cajon, CA",32.797369,-116.9366793
"605 Fletcher, El Cajon, CA",32.8042569,-116.9685546
"2150 N Waterman, El Centro, CA",32.8134905,-115.5773726
"10075 Bruceville, Elk Grove, CA",38.3913143,-121.4162771
"8455 Elk Grove, Elk Grove, CA",38.4102041,-121.3919262
"8465 Elk Grove, Elk Grove, CA",38.4117621,-121.3916932
"1550 Leucadia, Encinitas, CA",33.0693033,-117.2663989
"1266 E Valley, Escondido, CA",33.1320481,-117.066438
"3300 Broadway Bayshore, Eureka, CA",40.8020712,-124.1636729
"2701 N Texas, Fairfield, CA",38.2791277,-122.035325
"4420 Florin, Florin, CA",38.4943273,-121.4546659
"1018 Riley, Folsom, CA",38.6687141,-121.1673786
"17251 Foothill, Fontana, CA",34.105657,-117.4281076
"26502 Towne Center, Foothill Ranch, CA",33.6797512,-117.6712742
"40580 Albrae, Fremont, CA",37.5202271,-121.9856651
"44009 Osgood, Fremont, CA",37.5113849,-121.943235
"1804 E Ashlan, Fresno, CA",36.7927917,-119.7892756
"3131 N. Cedar, Fresno, CA",36.7789474,-119.7562509
"3680 West, Fresno, CA",36.7843791,-119.8264171
"5125 East Kings, Fresno, CA",36.7382641,-119.7217566
"7065 N Ingram, Fresno, CA",36.8391391,-119.8031529
"10470 Twin Cities, Galt, CA",38.2896589,-121.3047998
"10912 Katella, Garden Grove, CA",33.8010184,-117.9423464
"11822 Gilbert, Garden Grove, CA",33.7907469,-117.9642634
"7900 Arroyo, Gilroy, CA",37.0177998,-121.5614662
"1950 Auto Center, Glendora, CA",34.1165517,-117.82593
"4080 Douglas, Granite Bay, CA",38.7424062,-121.2250201
"250 S 12th, Hanford, CA",36.3218474,-119.6763557
"14441 Inglewood, Hawthorne, CA",33.9001337,-118.3624192
"1231 So Sanderson, Hemet, CA",33.726429,-117.0099786
"4210 East Highland, Highland, CA",34.1377064,-117.1950248
"21132 Beach, Huntington Beach, CA",33.6555494,-117.987041
"8230 Talbert, Huntington Beach, CA",33.7002653,-117.9855282
"82491 Avenue, Indio, CA",33.7250961,-116.2247515
"16555 Von Karman, Irvine, CA",33.6989907,-117.8362193
"71 Technology, Irvine, CA",33.656929,-117.7397016
"8844 Limonite, Jurupa Valley, CA",33.9742485,-117.4767899
"14061 W. Whitesbridge, Kerman, CA",36.7325987,-120.0440131
"1000 E Imperial, La Habra, CA",33.9161687,-117.9348982
"1340 South Beach, La Habra, CA",33.9149674,-117.9661813
"5500 Grossmont Center, La Mesa, CA",32.7781283,-117.0103544
"8820 Grossmont, La Mesa, CA",32.7749818,-117.0080952
"14865 Telegraph, La Mirada, CA",33.9186876,-118.0134241
"5420 La Palma, La Palma, CA",33.8456685,-118.0386984
"1425 N. Hacienda, La Puente, CA",34.0471289,-117.9498458
"79295 Us Hwy, La Quinta, CA",33.6633573,-116.3100095
"27470 Alicia, Laguna Niguel, CA",33.5635107,-117.7129607
"31700 Grape, Lake Elsinore, CA",33.6621276,-117.2945993
"2770 Carson, Lakewood, CA",33.8306766,-118.1587067
"1731 East Avenue, Lancaster, CA",34.6923909,-118.0977001
"44665 Valley Central, Lancaster, CA",34.6937992,-118.1740297
"255 Lincoln, Lincoln, CA",38.8886232,-121.291817
"2700 Las Positas, Livermore, CA",37.699275,-121.7680422
"2350 West Kettleman, Lodi, CA",38.1129682,-121.3032809
"701 W Central, Lompoc, CA",34.6628759,-120.4641598
